[34m2023-03-07 18:14:26,482 [APIManagerCLI] INFO : API-Manager CLI: 1.13.4
[m[34m2023-03-07 18:14:26,483 [APIManagerCLI] INFO : Module: API - E X P O R T / U T I L S (1.13.4)
[m[34m2023-03-07 18:14:28,365 [APIManagerAdapter] INFO : Successfully connected to API-Manager (7.7.20220830) on: https://apimgmt.ckp-ofl-prod-02.centene.com:443
[34m2023-03-07 18:14:33,030 [APIExportApp] INFO : 594 API(s) selected.
[m[34m2023-03-07 18:14:33,031 [CheckCertificatesAPIHandler] INFO : Going to check certificate expiration of: 594 selected API(s) within the next 30 days (Not valid after: 2023-04-06 19:14)
| 5d8a53d6-e5fd-435b-b091-d2e8f5df85c4 | Infermedica Acuity Tool                         | /infermedica/search-concepts         |      1.0 | CN=*.infermedica.com                                                           | 2022-12-15 08:33 | 2021-12-15 08:33 | D4:5B:D2:1A:96:49:DB:3B:94:3D:54:A7:67:06:7E:C4 |
| 1c6c93e0-2fbf-4494-9904-e4b832ff5dac | IOP - Patient Locator V2 Internal               | /iop/member-delete                   |    1.0.0 | CN=*.ckp.centene.com,O=Centene Corporation,L=St. Louis,ST=Missouri,C=US        | 2023-01-31 17:59 | 2022-01-30 18:00 | F3:69:55:3B:EE:BD:D0:27:69:B0:2D:84:75:3F:0F:2D |
| 333f6bdd-5db2-4404-8bda-29f13032ff9b | UMPI API                                        | /umpi                                |    0.1.0 | CN=*.execute-api.us-east-1.amazonaws.com                                       | 2022-08-20 18:59 | 2021-07-21 19:00 | 02:09:41:58:A0:DF:2A:E9:31:30:3C:25:EA:B9:B3:FE |
| b02acd96-287a-4aae-a1b4-a9f4dfe6f121 | Care Connect Interaction API                    | /api/cc/interact/v1                  |    1.0.0 | CN=devidp.wellcare.com, O=Comprehensive Health Management Inc., L=Tampa,       | 2022-10-08 18:59 | 2021-10-07 19:00 | A2:48:DD:98:B0:E7:9A:1C:8F:A1:88:AE:BF:D1:33:97 |
| a40c7bf8-ab53-4f9c-8225-635f9936b2a7 | Connect - Self Service V2                       | /connect/selfservice1                |        2 | CN=*.execute-api.us-west-2.amazonaws.com                                       | 2022-11-24 17:59 | 2021-12-15 18:00 | 32:D1:73:89:7C:C4:6D:FE:64:EC:E3:07:36:8A:E6:5F |
| 27a4d7a6-db88-41d2-b1cd-807eb5c5b1fc | CNET Weather                                    | /cnetweather                         |    1.0.0 | CN=*.centene.com,OU=Network,O=Centene Corporation,L=St. Louis,ST=Missouri,C=US | 2022-04-16 07:00 | 2020-04-15 19:00 | D1:5C:9D:90:FD:12:A9:C5:85:57:C0:CE:BB:F9:E9:CF |
| 55552ae7-8b03-486c-8d82-2766047b1f81 | ECS FileNet - Oasis Document                    | /oasis-document                      |      1.0 | CN=*.ckp.centene.com,O=Centene Corporation,L=St. Louis,ST=Missouri,C=US        | 2023-01-31 17:59 | 2022-01-30 18:00 | F3:69:55:3B:EE:BD:D0:27:69:B0:2D:84:75:3F:0F:2D |
| fcb8b630-9c30-4814-83f3-39d2c60b50cc | Dauntless Affiliation Builder                   | /dauntless/affiliation-builder       |      1.0 | CN=*.ckp.centene.com,O=Centene Corporation,L=St. Louis,ST=Missouri,C=US        | 2023-01-31 17:59 | 2022-01-30 18:00 | F3:69:55:3B:EE:BD:D0:27:69:B0:2D:84:75:3F:0F:2D |
| 7c312bcf-e99e-4e51-a18e-6d10a5d200c8 | Ambetter Broker Portal                          | /ambetter-broker-portal              |      1.0 | CN=*.my.salesforce.com, O="salesforce.com, inc.", L=San Francisco,             | 2022-07-08 18:59 | 2021-07-08 19:00 | A8:A7:FA:90:84:32:A8:C9:62:88:BB:BD:F9:85:BC:AD |
| b80ce21b-407b-4b58-b5c9-7573eb03f9c6 | AmbetterSoftheonPayment_v2_Login                | /softheon-payment/login              |      1.0 | CN=*.login.softheon.com                                                        | 2021-07-10 10:10 | 2021-06-26 10:10 | D3:61:18:45:B0:B4:F5:E9:B1:71:86:73:8C:CE:B8:07 |
| b80ce21b-407b-4b58-b5c9-7573eb03f9c6 | AmbetterSoftheonPayment_v2_Login                | /softheon-payment/login              |      1.0 | CN="Zscaler Intermediate Root CA (zscalerthree.net) (t) ", OU=Zscaler Inc.,    | 2021-07-10 10:10 | 2021-06-26 10:10 | D4:07:8D:0F:97:5B:5C:99:59:F6:42:C7:3F:23:71:70 |
